	LateSpring	Midsummer	LateSummer	Offseason
sp1	0	0	20	0
sp2	0	7	1	0
sp3	0	2	0	0
sp4	0	0	4	1
sp5	0	0	2	0
sp6	0	15	1	0
sp7	0	1	0	1
sp8	11	1	12	0
sp9	4	5	0	2
sp10	7	20	14	1
sp11	0	0	2	0
sp12	5	0	0	0
sp13	0	0	32	0
sp14	0	0	3	0
sp15	13	5	0	2
sp16	0	0	4	0
sp17	0	0	5	0
sp18	2	7	1	0
sp19	1	6	0	0
sp20	1	0	0	0
sp21	23	0	0	0
sp22	9	70	0	2
sp23	0	10	7	0
sp24	0	9	15	0
sp25	0	5	4	0
sp26	3	5	1	0
sp27	0	3	0	0
sp28	0	0	3	0
sp29	0	3	1	0
sp30	0	0	22	0
sp31	16	4	1	1
sp32	1	0	1	0
sp33	1	1	10	0
sp34	8	5	0	0
sp35	10	1	1	0
sp36	0	2	38	0
sp37	0	0	32	0
sp38	0	0	3	0
sp39	0	33	1	1
sp40	4	4	0	2
sp41	3	4	1	0
sp42	438	277	63	71
sp43	0	154	0	1
sp44	40	28	42	1
sp45	157	208	1	14
sp46	0	1	1	0
sp47	2	13	0	0
sp48	0	0	1	0
sp49	12	0	0	2
sp50	72	25	15	5
sp51	111	17	14	2
sp52	0	0	1	0
sp53	0	0	0	11
sp54	208	159	160	69
sp55	0	2	0	0
sp56	0	119	5	51
sp57	0	0	127	3
sp58	21	60	31	1
sp59	1	3	0	0
sp60	7	0	0	2
sp61	147	74	17	0
sp62	0	0	3	0
sp63	0	3	6	0
sp64	10	6	9	0
sp65	374	31	24	3
sp66	1	10	1	0
sp67	1	1	3	0
sp68	2	0	0	0
sp69	238	299	290	40
sp70	62	19	2	1
sp71	44	19	10	0
sp72	5	7	2	0
sp73	0	5	11	1
sp74	0	7	1	0
sp75	20	24	0	5
sp76	0	9	2	0
sp77	56	24	6	7
sp78	0	0	7	36
sp79	2	29	0	0
sp80	46	7	1	0
sp81	2	11	1	0
sp82	2	11	0	1
sp83	0	4	0	0
sp84	5	81	141	4
sp85	6	22	0	0
sp86	86	28	13	24
sp87	1	7	0	1
