	Region1	Region2	Region3	Region4	Region5	Region6	Region7	Region8	Fjallregion
sp1	0	0	0	0	0	12	0	5	3
sp2	1	0	0	5	1	0	1	0	0
sp3	1	1	0	0	0	0	0	0	0
sp4	0	0	0	0	0	0	1	4	0
sp5	0	0	0	1	0	0	1	0	0
sp6	14	2	0	0	0	0	0	0	0
sp7	0	0	0	0	0	1	0	1	0
sp8	24	0	0	0	0	0	0	0	0
sp9	1	0	0	0	0	4	0	6	0
sp10	1	1	4	1	22	10	0	3	0
sp11	0	0	0	0	0	2	0	0	0
sp12	5	0	0	0	0	0	0	0	0
sp13	0	0	0	0	0	7	0	25	0
sp14	0	0	0	0	0	2	0	1	0
sp15	0	0	1	3	7	6	0	3	0
sp16	0	0	0	0	0	0	0	3	1
sp17	0	0	0	0	0	0	2	1	2
sp18	3	4	0	0	1	0	1	1	0
sp19	0	0	0	1	4	2	0	0	0
sp20	1	0	0	0	0	0	0	0	0
sp21	0	0	8	1	10	1	3	0	0
sp22	0	0	0	0	0	14	0	36	31
sp23	0	0	0	0	0	10	2	1	4
sp24	0	11	13	0	0	0	0	0	0
sp25	0	1	0	0	4	1	3	0	0
sp26	3	0	0	1	0	0	1	0	4
sp27	1	0	0	1	1	0	0	0	0
sp28	0	0	0	0	1	0	0	1	1
sp29	3	0	0	1	0	0	0	0	0
sp30	0	0	0	4	1	7	0	1	9
sp31	17	2	2	0	0	0	0	1	0
sp32	1	1	0	0	0	0	0	0	0
sp33	2	0	0	0	2	2	1	5	0
sp34	1	1	1	6	2	1	1	0	0
sp35	1	0	6	0	0	0	5	0	0
sp36	0	0	0	0	0	3	1	4	32
sp37	0	1	0	1	5	7	18	0	0
sp38	0	0	0	0	0	1	2	0	0
sp39	0	0	0	0	0	30	0	5	0
sp40	0	0	0	0	0	4	2	1	3
sp41	4	2	2	0	0	0	0	0	0
sp42	385	40	164	10	35	80	0	69	66
sp43	154	0	0	0	0	0	1	0	0
sp44	65	1	24	0	1	5	2	11	2
sp45	56	2	2	38	4	39	41	133	65
sp46	1	1	0	0	0	0	0	0	0
sp47	0	0	0	0	0	1	0	1	13
sp48	0	0	0	0	0	1	0	0	0
sp49	0	14	0	0	0	0	0	0	0
sp50	55	24	17	8	1	12	0	0	0
sp51	47	9	43	3	9	25	2	6	0
sp52	1	0	0	0	0	0	0	0	0
sp53	10	1	0	0	0	0	0	0	0
sp54	225	61	19	22	69	56	11	117	16
sp55	0	0	0	0	0	0	2	0	0
sp56	49	0	1	0	0	0	0	4	121
sp57	0	0	0	0	4	2	5	118	1
sp58	112	0	0	0	0	0	1	0	0
sp59	1	2	1	0	0	0	0	0	0
sp60	0	0	0	3	0	4	0	0	2
sp61	121	29	5	24	32	21	0	6	0
sp62	0	0	0	0	1	2	0	0	0
sp63	2	0	0	0	0	3	0	4	0
sp64	18	1	5	1	0	0	0	0	0
sp65	416	14	2	0	0	0	0	0	0
sp66	7	4	0	1	0	0	0	0	0
sp67	2	1	0	0	0	0	0	0	2
sp68	0	0	0	0	0	1	1	0	0
sp69	724	63	36	9	11	15	5	3	1
sp70	4	66	0	0	0	5	0	5	4
sp71	48	3	1	1	1	17	0	2	0
sp72	7	0	1	0	2	4	0	0	0
sp73	8	5	0	4	0	0	0	0	0
sp74	0	0	0	0	1	5	0	1	1
sp75	0	0	0	0	2	3	2	37	5
sp76	0	0	0	0	5	5	0	1	0
sp77	78	11	1	0	0	2	0	1	0
sp78	11	2	0	1	9	6	13	0	1
sp79	1	3	0	1	26	0	0	0	0
sp80	1	52	1	0	0	0	0	0	0
sp81	12	2	0	0	0	0	0	0	0
sp82	1	0	0	0	0	11	0	1	1
sp83	0	0	0	0	0	0	0	0	4
sp84	26	13	1	23	52	59	21	22	14
sp85	0	0	0	1	0	4	2	16	5
sp86	91	44	8	2	3	1	2	0	0
sp87	5	1	0	1	0	0	0	2	0
sp88	2	0	0	0	0	0	0	0	0
sp89	40	6	5	0	4	2	0	6	1
sp90	0	0	0	0	0	2	0	9	6
sp91	16	0	0	0	3	15	4	1	17
sp92	0	0	0	0	1	0	0	1	16
sp93	4	1	4	0	0	0	0	0	0
sp94	12	0	0	0	0	0	0	0	0
sp95	24	5	3	0	76	5	0	34	1
sp96	1	0	0	0	0	0	0	0	0
sp97	2	0	0	1	0	6	1	122	55
sp98	0	0	0	0	0	2	1	1	0
sp99	7	2	1	0	9	12	0	19	2
