Site ID;Sample ID;Startdate;Enddate;Start;End;Trapping Days;Latitude;Longitude;County;Barcodes;Entire sample sequenced;Time period;Horticultural region;Avg. annual temperature;Avg. annual precipitation
1;M01013;12/10/2018;10/11/2018;12/10/2018;10/11/2018;29;55.525266;12.913263;Skåne;61;Y;Offseason;I (red);08-oct;500-600
1;M01025;14/05/2018;28/05/2018;14/05/2018;28/05/2018;14;55.525266;12.913263;Skåne;312;Y;Late Spring;I (red);08-oct;500-600
1;M01030;10/06/2018;25/06/2018;10/06/2018;25/06/2018;15;55.525266;12.913263;Skåne;214;N;Midsummer;I (red);08-oct;500-600
1;M01035;19/07/2018;07/08/2018;19/07/2018;07/08/2018;19;55.525266;12.913263;Skåne;168;N;Late Summer;I (red);08-oct;500-600
2;M02006;15/05/2018;25/05/2018;15/05/2018;25/05/2018;10;55.569393;12.926716;Skåne;535;Y;Late Spring;I (red);08-oct;500-600
2;M02010;20/06/2018;28/06/2018;20/06/2018;28/06/2018;8;55.569393;12.926716;Skåne;184;N;Midsummer;I (red);08-oct;500-600
2;M02014;30/07/2018;13/08/2018;30/07/2018;13/08/2018;14;55.569393;12.926716;Skåne;155;N;Late Summer;I (red);08-oct;500-600
2;M02020;10/10/2018;05/11/2018;10/10/2018;05/11/2018;26;55.569393;12.926716;Skåne;35;Y;Offseason;I (red);08-oct;500-600
3;M03006;15/05/2018;27/05/2018;15/05/2018;27/05/2018;12;55.633321;13.009706;Skåne;179;Y;Late Spring;I (red);08-oct;500-600
3;M03010;20/06/2018;28/06/2018;20/06/2018;28/06/2018;8;55.633321;13.009706;Skåne;18;Y;Midsummer;I (red);08-oct;500-600
3;M03014;30/07/2018;13/08/2018;30/07/2018;13/08/2018;14;55.633321;13.009706;Skåne;175;N;Late Summer;I (red);08-oct;500-600
3;M03019;10/10/2018;05/11/2018;10/10/2018;05/11/2018;26;55.633321;13.009706;Skåne;111;Y;Offseason;I (red);08-oct;500-600
4;M04006;15/05/2018;25/05/2018;15/05/2018;25/05/2018;10;55.578375;12.948558;Skåne;767;N;Late Spring;I (red);08-oct;500-600
4;M04010;20/06/2018;28/06/2018;20/06/2018;28/06/2018;8;55.578375;12.948558;Skåne;261;N;Midsummer;I (red);08-oct;500-600
4;M04014;30/07/2018;13/08/2018;30/07/2018;13/08/2018;14;55.578375;12.948558;Skåne;165;N;Late Summer;I (red);08-oct;500-600
4;M04020;10/10/2018;05/11/2018;10/10/2018;05/11/2018;26;55.578375;12.948558;Skåne;182;N;Offseason;I (red);08-oct;500-600
